TIME,TYPE,MESSAGE
LOG FILE INTIALIZED
16:12:38,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:12:38,ENCODE,Total number of files to encode: 1
16:12:38,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:12:39,ENCODE,Encoding progress: 25%
16:12:40,ENCODE,Encoding complete!
16:12:56,INIT,HAP-PY v0.0.1 started
16:12:57,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:12:57,ENCODE,Total number of files to encode: 1
16:12:57,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:12:58,ENCODE,Encoding progress: 25%
16:12:59,ENCODE,Encoding complete!
16:13:06,INIT,HAP-PY v0.0.1 started
16:13:07,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:13:08,ENCODE,Total number of files to encode: 1
16:13:08,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:13:08,ENCODE,Encoding progress: 25%
16:13:09,ENCODE,Encoding complete!
16:13:29,INIT,HAP-PY v0.0.1 started
16:13:31,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:13:31,ENCODE,Total number of files to encode: 1
16:13:31,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:13:32,ENCODE,Encoding progress: 25%
16:13:33,ENCODE,Encoding complete!
16:14:28,INIT,HAP-PY v0.0.1 started
16:14:29,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the file tree
16:14:30,ENCODE,Total number of files to encode: 1
16:14:30,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy_v2.png to the encoder
16:14:30,ENCODE,Encoding progress: 25%
